Number of stations is:
756 
     nw stn lat lon:
TA I23K  65.148  -149.360
TA R31K  58.413  -135.740
AK _DHY  63.075  -147.376
N4 M52A  41.541  -81.357
TA C18K  68.648  -161.194
AK KIAG  60.923  -142.361
TA Y22D  34.074  -106.921
PY BPH1  33.612  -116.452
N4 061Z  25.866  -80.907
TA E18K  67.421  -160.603
AV PLK3  57.688  -156.269
N4 U54A  36.521  -81.820
TA O16K  59.594  -158.093
N4 WHTX  31.991  -97.456
TA N25K  61.606  -144.598
CI _SBC  34.441  -119.715
TA L19K  62.182  -154.854
AZ _RDM  33.630  -116.848
AK _BMR  60.968  -144.605
AV _LVA  54.160  -166.036
N4 S54A  37.800  -81.311
TA L16K  61.711  -159.475
N4 O52A  40.116  -81.836
US ERPA  42.117  -79.989
N4 N38B  40.793  -93.235
N4 346B  31.388  -89.465
LD KSPA  41.557  -75.768
NU MGAN  12.147  -86.247
TA H31M  65.805  -134.343
TA M15K  60.695  -160.688
PR PCDR  18.514  -68.381
AK RDOG  68.054  -162.908
N4 N41A  40.708  -90.855
AV RDSO  60.454  -152.743
CI _DAN  34.637  -115.381
AV SPCP  61.266  -152.155
BK _CMB  38.035  -120.387
N4 S57A  37.761  -78.954
TA S22A  37.746  -106.829
N4 MDND  47.848  -99.603
US EGMT  48.024  -109.755
PY BPH0  33.610  -116.456
N4 J47A  43.238  -84.821
N4 K57A  42.731  -76.516
TA E21K  68.441  -153.972
N4 P40B  39.530  -92.048
N4 W52A  35.093  -83.928
TA E27K  68.186  -141.595
TA F21K  67.222  -153.483
AV MAPS  53.808  -166.941
AZ _TRO  33.523  -116.426
N4 BGNE  41.408  -98.150
N4 352A  31.479  -84.927
CN _INK  68.306  -133.525
AK _SCM  61.832  -147.329
TA J29N  64.453  -138.216
AV SPBG  61.259  -152.372
TA D28M  69.329  -138.737
N4 F33B  45.840  -96.293
TA M23K  61.793  -147.726
AV PLK5  57.997  -156.880
CI _GLA  33.051  -114.827
CI _TUQ  35.436  -115.924
TA O17K  59.773  -157.095
N4 TIGA  31.439  -83.590
N4 SPMN  45.225  -92.804
AK _YAH  60.358  -141.751
AK _WAX  60.448  -142.853
PR EMPR  18.477  -66.530
AK _CRQ  60.752  -143.093
UW LRIV  48.057  -123.504
CC PR05  46.842  -121.949
AV KAHG  58.493  -154.548
US GLMI  44.825  -84.618
LD CCNY  42.927  -78.855
UW BRAN  45.973  -117.228
AK _RND  63.406  -148.860
US WVOR  42.434  -118.637
TA N20K  61.200  -152.209
CN SADO  44.769  -79.142
MX HSIG  29.020  -110.949
TA M20K  61.882  -153.132
TA I21K  65.180  -151.982
CC _JRO  46.275  -122.218
AV AKRB  54.129  -166.071
AV _AHB  54.114  -165.818
TA Q32M  58.960  -132.269
TA O48B  40.257  -85.155
TA B18K  69.364  -161.802
N4 L40A  42.063  -91.222
N4 L46A  42.013  -86.296
TA G31M  66.923  -134.271
TA F15K  65.708  -164.648
N4 I45A  44.036  -86.235
N4 P53A  39.487  -81.390
TA HARP  62.399  -145.157
TA N19K  60.813  -154.484
TA H20K  65.492  -154.881
AK LOGN  60.824  -141.005
N4 N35B  40.861  -95.642
N4 Q54A  38.984  -80.834
TA P33M  60.211  -132.817
AK _KAI  59.927  -144.419
TA B22K  70.340  -153.420
AV WEBT  54.590  -164.755
AT _SIT  57.057  -135.324
TA R32K  58.275  -134.518
GS ASL8  34.946  -106.457
IU _ADK  51.882  -176.684
TA 435B  30.783  -97.585
AK _MDM  64.960  -148.232
N4 R55A  38.282  -80.120
AK BGLC  60.120  -143.284
N4 ABTX  32.624  -99.643
TA H29M  66.219  -138.369
N4 S61A  37.680  -75.673
II _JTS  10.291  -84.953
N4 E46A  46.367  -84.306
US OGNE  40.945  -102.033
TA Q19K  58.929  -153.645
IU TEIG  20.226  -88.276
TA P32M  59.590  -133.715
PR PRSN  18.217  -67.145
AK _HDA  64.409  -146.948
TA I20K  64.796  -154.478
II _FFC  54.725  -101.978
TA C27K  69.626  -143.711
AZ _SND  33.552  -116.613
AK _CCB  64.645  -147.805
UW DOSE  47.717  -122.972
TA H17K  64.937  -159.913
PY BPH0  33.611  -116.455
AT _PMR  61.592  -149.131
AT SKAG  59.460  -135.329
AK RIDG  63.740  -144.846
AV _SPU  61.181  -152.057
TA G23K  66.711  -150.024
NM _BLO  39.172  -86.522
AV _RED  60.420  -152.774
TA I28M  65.448  -139.935
MX TLIG  17.563  -98.567
AV AUWS  59.358  -153.461
TA F17K  66.442  -161.250
AV PLK1  57.801  -156.609
